# char	base	case	accent	rank	code	type   — Chroma UTF base table, DUCET 16.0.0 with case above accent. rank orders, code draws.
Ņ	9585	8	11	168	2594	letter
o	9624	2	0	169	2604	letter
ó	9624	2	1	170	2614	letter
ò	9624	2	2	171	2624	letter
ŏ	9624	2	3	172	2634	letter
ô	9624	2	4	173	2644	letter
ǒ	9624	2	5	174	2654	letter
ö	9624	2	7	175	2664	letter
ȫ	9624	2	7.13	176	2674	letter
ő	9624	2	8	177	2684	letter
õ	9624	2	9	178	2694	letter
ȭ	9624	2	9.13	179	2704	letter
ȯ	9624	2	10	180	2714	letter
ȱ	9624	2	10.13	181	2724	letter
ǫ	9624	2	12	182	2734	letter
ǭ	9624	2	12.13	183	2744	letter
ō	9624	2	13	184	2754	letter
ȍ	9624	2	14	185	2764	letter
ȏ	9624	2	15	186	2774	letter
ơ	9624	2	16	187	2784	letter
O	9624	8	0	188	2794	letter
Ó	9624	8	1	189	2804	letter
Ò	9624	8	2	190	2814	letter
Ŏ	9624	8	3	191	2824	letter
Ô	9624	8	4	192	2834	letter
Ǒ	9624	8	5	193	2844	letter
Ö	9624	8	7	194	2854	letter
Ȫ	9624	8	7.13	195	2864	letter
Ő	9624	8	8	196	2874	letter
Õ	9624	8	9	197	2884	letter
Ȭ	9624	8	9.13	198	2894	letter
Ȯ	9624	8	10	199	2904	letter
Ȱ	9624	8	10.13	200	2914	letter
Ǫ	9624	8	12	201	2924	letter
Ǭ	9624	8	12.13	202	2934	letter
Ō	9624	8	13	203	2944	letter
Ȍ	9624	8	14	204	2954	letter
Ȏ	9624	8	15	205	2964	letter
Ơ	9624	8	16	206	2974	letter
p	9672	2	0	207	2984	letter
P	9672	8	0	208	2994	letter
q	9693	2	0	209	3004	letter
Q	9693	8	0	210	3014	letter
r	9712	2	0	211	3024	letter
ŕ	9712	2	1	212	3034	letter
ř	9712	2	5	213	3044	letter
ŗ	9712	2	11	214	3054	letter
ȑ	9712	2	14	215	3064	letter
ȓ	9712	2	15	216	3074	letter
R	9712	8	0	217	3084	letter
Ŕ	9712	8	1	218	3094	letter
Ř	9712	8	5	219	3104	letter
Ŗ	9712	8	11	220	3114	letter
Ȑ	9712	8	14	221	3124	letter
Ȓ	9712	8	15	222	3134	letter
s	9778	2	0	223	3144	letter
ś	9778	2	1	224	3154	letter
ŝ	9778	2	4	225	3164	letter
š	9778	2	5	226	3174	letter
ş	9778	2	11	227	3184	letter
ș	9778	2	17	228	3194	letter
S	9778	8	0	229	3204	letter
Ś	9778	8	1	230	3214	letter
Ŝ	9778	8	4	231	3224	letter
Š	9778	8	5	232	3234	letter
Ş	9778	8	11	233	3244	letter
Ș	9778	8	17	234	3254	letter
t	9821	2	0	235	3264	letter
ť	9821	2	5	236	3274	letter
ţ	9821	2	11	237	3284	letter
ț	9821	2	17	238	3294	letter
T	9821	8	0	239	3304	letter
Ť	9821	8	5	240	3314	letter
Ţ	9821	8	11	241	3324	letter
Ț	9821	8	17	242	3334	letter
u	9856	2	0	243	3344	letter
ú	9856	2	1	244	3354	letter
ù	9856	2	2	245	3364	letter
ŭ	9856	2	3	246	3374	letter
û	9856	2	4	247	3384	letter
ǔ	9856	2	5	248	3394	letter
ů	9856	2	6	249	3404	letter
ü	9856	2	7	250	3414	letter
ǘ	9856	2	7.1	251	3424	letter
ǜ	9856	2	7.2	252	3434	letter
ǚ	9856	2	7.5	253	3444	letter
